item,feature,importance
Bread,day_of_week,0.027852624195307523
Bread,day_of_year,0.1335007995709992
Bread,month,0.000254483196895122
Bread,is_weekend,0.009157372996260548
Bread,date_ordinal,0.11757148106722823
Bread,lag_1,0.050783650677728706
Bread,lag_7,0.6058442089384452
Bread,rolling_mean_7,0.05503537935713545
Cooking Oil (1L),day_of_week,0.038756434835562154
Cooking Oil (1L),day_of_year,0.023226392960428926
Cooking Oil (1L),month,2.3974914306222232e-05
Cooking Oil (1L),is_weekend,0.0012937411544021037
Cooking Oil (1L),date_ordinal,0.01713158791888304
Cooking Oil (1L),lag_1,0.14691366882630527
Cooking Oil (1L),lag_7,0.37450765218895976
Cooking Oil (1L),rolling_mean_7,0.39814654720115233
Eggs (12),day_of_week,0.079491664935869
Eggs (12),day_of_year,0.1598111539657989
Eggs (12),month,2.433386035066918e-07
Eggs (12),is_weekend,0.025504121330891163
Eggs (12),date_ordinal,0.16048671938600098
Eggs (12),lag_1,0.32107709729313066
Eggs (12),lag_7,0.15246991539303045
Eggs (12),rolling_mean_7,0.10115908435667541
Milk (1L),day_of_week,0.1749398049897434
Milk (1L),day_of_year,0.06190169175399087
Milk (1L),month,0.001651600248093554
Milk (1L),is_weekend,0.01435572961797029
Milk (1L),date_ordinal,0.07690958426609328
Milk (1L),lag_1,0.2998379426282244
Milk (1L),lag_7,0.057357422096675936
Milk (1L),rolling_mean_7,0.31304622439920826
Rice (1kg),day_of_week,0.012603189327246068
Rice (1kg),day_of_year,0.12072046148280807
Rice (1kg),month,0.00014661837609105435
Rice (1kg),is_weekend,0.007867074821730035
Rice (1kg),date_ordinal,0.20056446989464058
Rice (1kg),lag_1,0.32296483858127195
Rice (1kg),lag_7,0.1491397409540192
Rice (1kg),rolling_mean_7,0.185993606562193
